feature,level,n,wins,places,win_rate_pct,place_rate_pct,win_lift,place_lift
班次,Class 4 (Bonus Prize Money),78,6,18,7.7,23.1,1.0,1.0
班次,Class 3 (Restricted),70,5,15,7.1,21.4,1.0,1.0
班次,Class 3 (Bonus Prize Money),53,4,12,7.6,22.6,1.0,1.0
班次,3 YEAR OLDS AND UPWARDS,49,5,15,10.2,30.6,1.0,1.0
班次,GROUP-3,42,3,9,7.1,21.4,1.0,1.0
休息日數(逐7日),0-6日,946,84,230,8.9,24.3,1.137,1.039
休息日數(逐7日),7-13日,10719,729,2402,6.8,22.4,0.869,0.956
休息日數(逐7日),14-20日,23529,1759,5443,7.5,23.1,0.958,0.991
休息日數(逐7日),21-27日,25761,2172,6391,8.4,24.8,1.074,1.058
休息日數(逐7日),28-34日,15641,1348,3995,8.6,25.5,1.103,1.093
休息日數(逐7日),35-41日,8118,716,2060,8.8,25.4,1.131,1.088
休息日數(逐7日),42-48日,4207,344,1051,8.2,25.0,1.038,1.061
休息日數(逐7日),49-55日,2649,192,643,7.2,24.3,0.917,1.027
休息日數(逐7日),56-62日,1942,148,453,7.6,23.3,0.954,0.978
休息日數(逐7日),63-69日,1981,149,473,7.5,23.9,0.933,0.99
休息日數(逐7日),70-76日,1711,132,397,7.7,23.2,0.949,0.955
休息日數(逐7日),77-83日,1506,115,341,7.6,22.6,0.951,0.943
休息日數(逐7日),84+日,9351,702,1973,7.5,21.1,0.943,0.885
"休息日數(逐日,首28日)",3日,118,9,31,7.6,26.3,0.979,1.124
"休息日數(逐日,首28日)",4日,210,19,58,9.0,27.6,1.135,1.159
"休息日數(逐日,首28日)",5日,66,9,19,13.6,28.8,1.802,1.268
"休息日數(逐日,首28日)",6日,552,47,122,8.5,22.1,1.094,0.947
"休息日數(逐日,首28日)",7日,1482,105,371,7.1,25.0,0.894,1.058
"休息日數(逐日,首28日)",8日,673,45,147,6.7,21.8,0.862,0.941
"休息日數(逐日,首28日)",9日,311,24,77,7.7,24.8,0.993,1.065
"休息日數(逐日,首28日)",10日,1658,103,326,6.2,19.7,0.781,0.826
"休息日數(逐日,首28日)",11日,3022,172,587,5.7,19.4,0.726,0.827
"休息日數(逐日,首28日)",12日,608,45,154,7.4,25.3,0.961,1.096
"休息日數(逐日,首28日)",13日,2965,235,740,7.9,25.0,1.023,1.076
"休息日數(逐日,首28日)",14日,7498,581,1781,7.8,23.8,0.988,1.012
"休息日數(逐日,首28日)",15日,3338,260,804,7.8,24.1,1.013,1.049
"休息日數(逐日,首28日)",16日,726,73,174,10.1,24.0,1.314,1.045
"休息日數(逐日,首28日)",17日,2639,194,595,7.4,22.6,0.926,0.949
"休息日數(逐日,首28日)",18日,4883,286,954,5.9,19.5,0.755,0.841
"休息日數(逐日,首28日)",19日,927,66,206,7.1,22.2,0.91,0.953
"休息日數(逐日,首28日)",20日,3518,299,929,8.5,26.4,1.09,1.131
"休息日數(逐日,首28日)",21日,12071,1070,3146,8.9,26.1,1.116,1.1
"休息日數(逐日,首28日)",22日,3438,294,846,8.6,24.6,1.103,1.061
"休息日數(逐日,首28日)",23日,972,79,248,8.1,25.5,1.046,1.097
"休息日數(逐日,首28日)",24日,2231,173,497,7.8,22.3,0.991,0.95
"休息日數(逐日,首28日)",25日,3865,258,819,6.7,21.2,0.859,0.913
"休息日數(逐日,首28日)",26日,761,66,180,8.7,23.6,1.117,1.02
"休息日數(逐日,首28日)",27日,2423,232,655,9.6,27.0,1.234,1.166
"休息日數(逐日,首28日)",28+日,47106,3846,11386,8.2,24.2,1.035,1.025
負磅(磅),108-109lb,794,31,116,3.9,14.6,0.502,0.628
負磅(磅),110-111lb,1965,94,294,4.8,15.0,0.622,0.649
負磅(磅),112-113lb,4243,176,654,4.2,15.4,0.526,0.653
負磅(磅),114-115lb,6619,395,1295,6.0,19.6,0.759,0.833
負磅(磅),116-117lb,8034,530,1649,6.6,20.5,0.842,0.875
負磅(磅),118-119lb,9753,706,2128,7.2,21.8,0.922,0.929
負磅(磅),120-121lb,11842,875,2589,7.4,21.9,0.939,0.931
負磅(磅),122-123lb,12857,957,2945,7.4,22.9,0.941,0.967
負磅(磅),124-125lb,12446,1024,2854,8.2,22.9,1.063,0.99
負磅(磅),126-127lb,15088,1312,3757,8.7,24.9,1.081,1.038
負磅(磅),128-129lb,10491,883,2699,8.4,25.7,1.075,1.101
負磅(磅),130-131lb,8945,809,2408,9.0,26.9,1.17,1.163
負磅(磅),132-133lb,9615,1025,2956,10.7,30.7,1.369,1.32
負磅(磅),134-135lb,2346,247,702,10.5,29.9,1.325,1.264
負磅(磅),135+lb,1561,166,479,10.6,30.7,1.323,1.284
相對負磅(vs全場平均),-12--11lb,2792,114,401,4.1,14.4,0.528,0.621
相對負磅(vs全場平均),-10--9lb,5275,273,925,5.2,17.5,0.665,0.754
相對負磅(vs全場平均),-8--7lb,8190,479,1630,5.9,19.9,0.748,0.851
相對負磅(vs全場平均),-6--5lb,10456,713,2175,6.8,20.8,0.868,0.886
相對負磅(vs全場平均),-4--3lb,12271,900,2676,7.3,21.8,0.931,0.926
相對負磅(vs全場平均),-2--1lb,13944,1022,3075,7.3,22.0,0.925,0.932
相對負磅(vs全場平均),0-1lb,17611,1449,4136,8.2,23.5,1.028,0.983
相對負磅(vs全場平均),2-3lb,13091,1194,3341,9.1,25.5,1.171,1.095
相對負磅(vs全場平均),4-5lb,10618,954,2855,9.0,26.9,1.148,1.152
相對負磅(vs全場平均),6-7lb,8887,809,2480,9.1,27.9,1.176,1.204
相對負磅(vs全場平均),8-9lb,6203,628,1824,10.1,29.4,1.303,1.264
相對負磅(vs全場平均),10-11lb,2992,327,936,10.9,31.3,1.39,1.332
相對負磅(vs全場平均),12+lb,1086,133,363,12.2,33.4,1.491,1.369
在港日數(逐半年),0-181日,34068,2700,7376,7.9,21.6,1.02,0.933
在港日數(逐半年),182-363日,21026,1970,5687,9.4,27.0,1.209,1.165
在港日數(逐半年),364-545日,17091,1537,4773,9.0,27.9,1.145,1.189
在港日數(逐半年),546-727日,13389,1048,3205,7.8,23.9,0.99,1.013
在港日數(逐半年),728-909日,10550,730,2352,6.9,22.3,0.865,0.934
在港日數(逐半年),910-1091日,7378,444,1540,6.0,20.9,0.751,0.871
