rid,date,venue,season,fs,cost,ret,win_pairs,n_in,hit,real
2021-02-10_HV_5,2021-02-10,HV,2020-21,12,60.0,38.259646169083865,1,2,1,False
2021-02-10_HV_6,2021-02-10,HV,2020-21,12,60.0,43.41620589935006,1,2,1,False
2021-02-10_HV_7,2021-02-10,HV,2020-21,12,60.0,37.49220640840619,1,2,1,False
2021-02-10_HV_8,2021-02-10,HV,2020-21,11,60.0,18.50659194945298,1,2,1,False
2021-02-10_HV_9,2021-02-10,HV,2020-21,12,60.0,34.141893019467965,1,2,1,False
2021-02-14_ST_1,2021-02-14,ST,2020-21,14,60.0,52.7708239759477,1,2,1,False
2021-02-14_ST_10,2021-02-14,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-02-14_ST_11,2021-02-14,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-02-14_ST_2,2021-02-14,ST,2020-21,14,60.0,27.336281222522718,1,2,1,False
2021-02-14_ST_3,2021-02-14,ST,2020-21,14,60.0,49.434255250528004,1,2,1,False
2021-02-14_ST_4,2021-02-14,ST,2020-21,14,60.0,64.89984787498639,1,2,1,False
2021-02-14_ST_5,2021-02-14,ST,2020-21,14,60.0,77.96767988404144,1,2,1,False
2021-02-14_ST_6,2021-02-14,ST,2020-21,14,60.0,37.726334787521914,1,2,1,False
2021-02-14_ST_7,2021-02-14,ST,2020-21,14,60.0,0.0,0,0,0,False
2021-02-14_ST_8,2021-02-14,ST,2020-21,9,60.0,240.0814478091957,3,3,1,False
2021-02-14_ST_9,2021-02-14,ST,2020-21,11,60.0,43.29165488675753,1,2,1,False
2021-02-17_HV_1,2021-02-17,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-02-17_HV_2,2021-02-17,HV,2020-21,12,60.0,46.03256279624129,1,2,1,False
2021-02-17_HV_3,2021-02-17,HV,2020-21,12,60.0,0.0,0,0,0,False
2021-02-17_HV_4,2021-02-17,HV,2020-21,12,60.0,43.883704874364355,1,2,1,False
2021-02-17_HV_5,2021-02-17,HV,2020-21,10,60.0,137.9562795812426,3,3,1,False
2021-02-17_HV_6,2021-02-17,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-02-17_HV_7,2021-02-17,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-02-17_HV_8,2021-02-17,HV,2020-21,12,60.0,31.389085209293732,1,2,1,False
2021-02-17_HV_9,2021-02-17,HV,2020-21,12,60.0,161.11378334412032,3,3,1,False
2021-02-21_ST_1,2021-02-21,ST,2020-21,12,60.0,309.57471413690536,3,3,1,False
2021-02-21_ST_10,2021-02-21,ST,2020-21,14,60.0,41.59516580238885,1,2,1,False
2021-02-21_ST_2,2021-02-21,ST,2020-21,9,60.0,0.0,0,1,0,False
2021-02-21_ST_3,2021-02-21,ST,2020-21,9,60.0,165.3909910683742,3,3,1,False
2021-02-21_ST_4,2021-02-21,ST,2020-21,14,60.0,63.0335590618297,1,2,1,False
2021-02-21_ST_5,2021-02-21,ST,2020-21,14,60.0,39.21996776678088,1,2,1,False
2021-02-21_ST_6,2021-02-21,ST,2020-21,12,60.0,39.383748880923164,1,2,1,False
2021-02-21_ST_7,2021-02-21,ST,2020-21,7,60.0,74.20779668677275,3,3,1,False
2021-02-21_ST_8,2021-02-21,ST,2020-21,12,60.0,0.0,0,1,0,False
2021-02-21_ST_9,2021-02-21,ST,2020-21,14,60.0,0.0,0,0,0,False
2021-02-24_HV_1,2021-02-24,HV,2020-21,12,60.0,205.65179817738124,3,3,1,False
2021-02-24_HV_2,2021-02-24,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-02-24_HV_3,2021-02-24,HV,2020-21,9,60.0,0.0,0,1,0,False
2021-02-24_HV_4,2021-02-24,HV,2020-21,12,60.0,28.320582703244465,1,2,1,False
2021-02-24_HV_5,2021-02-24,HV,2020-21,12,60.0,63.00702058641012,1,2,1,False
2021-02-24_HV_6,2021-02-24,HV,2020-21,8,60.0,126.88996576149339,3,3,1,False
2021-02-24_HV_7,2021-02-24,HV,2020-21,12,60.0,27.80890860420969,1,2,1,False
2021-02-24_HV_8,2021-02-24,HV,2020-21,12,60.0,41.016753487900104,1,2,1,False
2021-02-24_HV_9,2021-02-24,HV,2020-21,12,60.0,53.274396297335485,1,2,1,False
2021-02-28_ST_1,2021-02-28,ST,2020-21,14,60.0,91.5358566783687,1,2,1,False
2021-02-28_ST_10,2021-02-28,ST,2020-21,14,60.0,27.00524320603551,1,2,1,False
2021-02-28_ST_2,2021-02-28,ST,2020-21,14,60.0,0.0,0,0,0,False
2021-02-28_ST_3,2021-02-28,ST,2020-21,9,60.0,73.41403644901811,1,2,1,False
2021-02-28_ST_4,2021-02-28,ST,2020-21,14,60.0,210.45657175307684,3,3,1,False
2021-02-28_ST_5,2021-02-28,ST,2020-21,14,60.0,0.0,0,1,0,False
2021-02-28_ST_6,2021-02-28,ST,2020-21,14,60.0,61.52616114114973,1,2,1,False
2021-02-28_ST_7,2021-02-28,ST,2020-21,11,60.0,0.0,0,0,0,False
2021-02-28_ST_8,2021-02-28,ST,2020-21,14,60.0,170.63260650797673,3,3,1,False
2021-02-28_ST_9,2021-02-28,ST,2020-21,14,60.0,50.055759394683335,1,2,1,False
2021-03-03_HV_1,2021-03-03,HV,2020-21,12,60.0,32.935815352728774,1,2,1,False
2021-03-03_HV_2,2021-03-03,HV,2020-21,12,60.0,27.48710847546533,1,2,1,False
2021-03-03_HV_3,2021-03-03,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-03_HV_4,2021-03-03,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-03_HV_5,2021-03-03,HV,2020-21,12,60.0,68.5003362318505,1,2,1,False
2021-03-03_HV_6,2021-03-03,HV,2020-21,12,60.0,134.5594652942919,3,3,1,False
2021-03-03_HV_7,2021-03-03,HV,2020-21,12,60.0,22.16362446663632,1,2,1,False
2021-03-03_HV_8,2021-03-03,HV,2020-21,12,60.0,109.29855445354023,3,3,1,False
2021-03-03_HV_9,2021-03-03,HV,2020-21,12,60.0,127.96204685737408,3,3,1,False
2021-03-07_ST_1,2021-03-07,ST,2020-21,12,60.0,0.0,0,1,0,False
2021-03-07_ST_10,2021-03-07,ST,2020-21,14,60.0,70.31376452061404,1,2,1,False
2021-03-07_ST_2,2021-03-07,ST,2020-21,12,60.0,47.20383647346768,1,2,1,False
2021-03-07_ST_3,2021-03-07,ST,2020-21,9,60.0,19.11219906734937,1,2,1,False
2021-03-07_ST_4,2021-03-07,ST,2020-21,14,60.0,105.36942806653994,1,2,1,False
2021-03-07_ST_5,2021-03-07,ST,2020-21,12,60.0,140.17817916036398,3,3,1,False
2021-03-07_ST_6,2021-03-07,ST,2020-21,14,60.0,41.29937320588042,1,2,1,False
2021-03-07_ST_7,2021-03-07,ST,2020-21,12,60.0,82.34248729736868,1,2,1,False
2021-03-07_ST_8,2021-03-07,ST,2020-21,12,60.0,139.8187549802356,3,3,1,False
2021-03-07_ST_9,2021-03-07,ST,2020-21,13,60.0,133.81111106436492,3,3,1,False
2021-03-10_HV_1,2021-03-10,HV,2020-21,9,60.0,25.53779106143109,1,2,1,False
2021-03-10_HV_2,2021-03-10,HV,2020-21,8,60.0,43.788076144585325,1,2,1,False
2021-03-10_HV_3,2021-03-10,HV,2020-21,12,60.0,173.75469908261783,3,3,1,False
2021-03-10_HV_4,2021-03-10,HV,2020-21,12,60.0,106.10338757673006,3,3,1,False
2021-03-10_HV_5,2021-03-10,HV,2020-21,12,60.0,131.0672914125186,3,3,1,False
2021-03-10_HV_6,2021-03-10,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-10_HV_7,2021-03-10,HV,2020-21,11,60.0,38.28749674250512,1,2,1,False
2021-03-10_HV_8,2021-03-10,HV,2020-21,12,60.0,112.4039085495001,1,2,1,False
2021-03-10_HV_9,2021-03-10,HV,2020-21,12,60.0,51.77112878781024,1,2,1,False
2021-03-13_ST_1,2021-03-13,ST,2020-21,14,60.0,201.31031850178817,3,3,1,False
2021-03-13_ST_10,2021-03-13,ST,2020-21,13,60.0,0.0,0,1,0,False
2021-03-13_ST_2,2021-03-13,ST,2020-21,7,60.0,20.181004862858813,1,2,1,False
2021-03-13_ST_3,2021-03-13,ST,2020-21,11,60.0,34.659094635669476,1,2,1,False
2021-03-13_ST_4,2021-03-13,ST,2020-21,14,60.0,69.86088022704311,1,2,1,False
2021-03-13_ST_5,2021-03-13,ST,2020-21,10,60.0,103.19697392407035,3,3,1,False
2021-03-13_ST_6,2021-03-13,ST,2020-21,12,60.0,195.69021570698126,3,3,1,False
2021-03-13_ST_7,2021-03-13,ST,2020-21,9,60.0,0.0,0,1,0,False
2021-03-13_ST_8,2021-03-13,ST,2020-21,14,60.0,106.65385107776909,3,3,1,False
2021-03-13_ST_9,2021-03-13,ST,2020-21,11,60.0,0.0,0,1,0,False
2021-03-17_HV_1,2021-03-17,HV,2020-21,12,60.0,0.0,0,1,0,False
2021-03-17_HV_2,2021-03-17,HV,2020-21,12,60.0,40.653814567572084,1,2,1,False
2021-03-17_HV_3,2021-03-17,HV,2020-21,12,60.0,18.423621341654723,1,2,1,False
2021-03-17_HV_4,2021-03-17,HV,2020-21,12,60.0,34.11719380779476,1,2,1,False
2021-03-17_HV_5,2021-03-17,HV,2020-21,12,60.0,53.61798210719928,1,2,1,False
